1
1000 100000
397 643 1
80 993 2
407 863 2
226 255 1
172 299 1
551 677 2
604 657 2
102 979 2
589 636 2
389 591 2
60 65 2
162 277 1
161 304 2
334 720 2
144 791 1
249 424 1
225 565 1
478 634 2
310 367 1
325 590 1
847 891 1
669 843 2
193 653 2
403 778 1
341 357 2
863 912 1
197 901 2
282 874 1
253 507 1
234 542 2
347 800 1
134 794 1
300 874 1
810 865 1
329 912 2
166 744 2
558 572 1
370 689 2
361 825 1
515 619 2
427 496 1
11 316 1
3 558 2
209 496 2
407 798 1
384 500 2
233 479 2
128 280 1
482 708 2
78 613 1
389 903 2
200 265 1
15 463 1
39 351 2
436 624 2
154 751 2
81 651 2
899 937 2
7 339 1
196 805 1
207 495 2
23 279 2
246 270 2
185 677 1
485 753 1
98 707 1
752 890 1
260 427 2
1 572 1
144 300 1
643 958 2
285 988 2
210 944 1
254 835 1
165 351 2
23 744 2
427 693 1
247 522 1
308 876 1
719 996 1
64 629 2
413 431 1
25 843 2
5 810 1
701 765 2
711 804 1
111 783 1
672 765 1
861 882 2
98 257 2
469 668 2
135 898 2
189 394 1
391 485 2
249 637 2
834 848 2
178 382 2
286 853 1
527 554 2
163 531 1
648 843 2
450 476 2
127 791 2
455 508 2
93 954 1
213 772 1
543 955 2
531 974 2
280 879 2
678 714 1
328 974 2
36 122 2
718 740 1
303 516 2
139 788 2
290 584 2
849 924 1
354 698 1
304 425 2
176 595 2
359 888 1
191 642 1
163 608 1
326 496 2
582 655 1
231 350 1
48 835 2
31 825 1
199 780 2
380 713 2
155 833 1
272 589 1
235 255 2
172 897 2
383 462 1
250 571 2
72 114 2
25 158 1
269 618 2
156 795 2
247 482 2
614 630 1
243 607 2
604 837 2
218 915 1
252 763 2
327 868 1
301 405 2
497 523 2
50 558 1
231 502 1
770 774 1
87 349 1
51 201 1
477 680 1
150 286 2
172 632 2
338 916 2
451 795 2
380 908 1
145 717 2
72 607 1
470 602 1
533 587 2
533 976 2
288 566 2
433 952 1
128 718 2
804 819 2
42 588 2
110 738 1
107 926 1
556 907 2
310 948 2
156 813 2
173 270 1
372 912 1
119 639 2
128 357 2
121 333 1
317 688 1
717 750 2
309 352 2
726 950 1
324 513 1
147 755 1
281 524 1
157 495 1
56 855 2
574 858 1
209 997 2
374 708 2
429 494 1
17 561 2
643 751 2
651 990 1
698 957 1
176 331 2
903 957 1
195 815 1
314 754 1
496 769 1
47 784 1
198 763 1
254 271 2
232 305 1
292 612 1
173 219 2
242 825 2
71 156 2
20 909 2
331 800 1
321 560 2
428 847 1
22 354 2
617 893 2
289 954 1
188 528 1
219 582 1
455 845 2
808 817 2
611 749 1
294 388 1
92 413 2
175 326 1
324 357 2
13 462 2
325 628 1
276 540 2
471 554 1
343 635 1
288 709 2
361 512 2
13 408 1
310 881 1
62 263 2
719 746 2
621 962 2
126 193 1
447 737 1
29 759 1
69 230 1
591 954 1
55 368 1
357 526 2
491 608 1
592 608 1
332 551 2
702 788 2
140 823 1
10 88 1
692 740 1
177 618 1
64 948 1
508 799 2
704 854 2
432 664 2
837 918 1
816 939 2
790 955 2
610 683 2
145 833 2
15 947 1
278 786 1
231 345 2
743 916 2
482 827 1
574 778 1
644 855 1
121 718 1
530 974 2
206 392 1
578 938 2
355 558 2
183 725 1
90 675 1
27 489 1
610 630 1
86 862 2
650 652 1
291 653 1
253 572 2
236 277 2
253 890 2
481 905 1
3 714 2
558 695 2
561 868 2
91 411 1
713 856 1
360 685 2
600 953 1
208 291 2
161 404 2
211 871 2
662 804 1
738 854 2
907 911 2
8 651 2
704 986 1
466 671 1
216 881 2
78 779 1
490 959 2
615 807 1
577 611 1
761 870 2
586 786 2
488 594 2
562 715 2
877 900 1
438 762 2
443 957 2
379 664 2
145 548 1
175 889 2
282 357 2
268 579 2
167 307 1
262 377 2
197 862 1
12 279 1
86 647 1
93 948 2
261 729 2
53 845 1
90 354 1
770 824 1
271 967 1
94 175 2
500 875 1
140 829 2
177 611 1
67 108 1
288 917 2
687 912 2
488 514 2
336 577 1
136 671 1
456 919 1
845 959 1
791 913 1
250 617 2
176 374 1
62 561 1
209 703 2
1 122 2
433 571 1
84 661 1
860 870 1
539 720 1
279 475 1
308 508 1
541 932 1
467 713 2
255 462 1
392 793 1
280 632 2
18 961 1
97 677 1
92 131 1
127 423 1
51 880 2
558 960 1
172 575 2
46 322 1
4 757 2
768 985 2
174 311 2
368 852 2
882 937 2
477 816 1
957 991 2
80 867 1
122 688 2
133 971 2
442 902 2
53 591 2
50 806 2
413 545 2
273 477 2
63 167 2
281 989 1
308 513 1
403 498 2
247 444 2
397 478 2
98 355 2
59 428 1
378 761 1
96 453 2
153 929 1
127 958 1
4 239 2
57 270 1
10 357 1
85 686 2
118 506 2
798 827 1
421 805 1
425 542 2
837 970 1
200 258 1
177 836 2
716 790 2
123 733 2
64 328 1
53 495 1
614 961 1
93 491 1
193 453 2
142 524 1
156 178 1
475 539 1
296 551 1
74 542 1
116 839 2
794 895 1
10 364 2
58 287 2
284 954 2
292 930 1
130 666 2
395 854 2
177 762 2
52 871 2
641 677 1
566 965 1
210 270 2
398 641 1
229 251 2
441 686 2
141 415 1
240 839 2
20 677 2
62 775 2
13 57 1
931 953 1
494 830 2
554 636 2
60 76 2
57 470 2
20 901 2
635 876 1
269 620 2
444 521 2
98 282 1
273 736 1
82 654 1
211 492 1
602 662 1
666 909 2
69 479 1
797 994 1
64 200 2
686 769 2
768 905 1
303 585 1
292 393 2
640 956 2
151 458 2
642 984 1
9 733 1
400 696 1
374 570 2
20 291 1
515 679 2
417 789 2
254 464 1
832 972 2
4 693 2
520 651 1
445 447 2
469 529 2
142 395 2
502 567 1
432 994 2
607 919 2
166 180 2
561 792 2
396 914 2
26 298 1
369 656 1
957 968 1
92 788 2
272 378 1
806 858 2
241 347 2
46 424 2
892 996 2
298 587 2
352 790 1
561 563 1
779 918 1
140 912 1
19 310 2
333 600 2
674 707 1
261 785 2
532 614 1
821 930 1
234 858 2
168 611 2
491 682 2
572 679 2
805 894 1
191 218 1
457 574 1
5 531 1
306 848 1
485 776 2
579 912 1
247 930 2
330 462 1
499 698 1
289 585 1
56 950 1
24 64 1
503 719 2
19 760 2
123 643 1
602 711 1
320 468 1
213 320 2
556 683 2
31 660 2
438 898 1
486 766 2
792 849 2
583 944 1
405 717 1
391 592 1
877 992 2
143 880 2
112 358 2
615 919 2
179 692 2
173 341 2
95 625 1
120 848 1
83 503 2
403 611 2
166 250 2
115 530 1
174 574 2
302 905 2
753 754 1
413 670 1
290 599 1
145 439 1
373 840 2
654 687 2
181 353 1
114 780 2
122 716 2
295 725 1
685 956 2
410 674 1
230 527 1
159 334 2
213 592 2
24 466 2
6 832 1
231 643 1
138 940 1
167 606 2
245 502 2
28 847 1
512 944 2
598 805 1
129 379 2
208 222 2
262 800 1
737 801 2
384 988 1
368 916 1
167 882 2
91 890 2
3 827 1
778 875 1
253 511 1
419 936 2
726 805 2
135 469 1
826 954 1
298 600 1
612 897 1
359 757 1
181 815 1
47 628 2
148 258 2
39 459 2
183 432 2
745 1000 1
106 133 1
448 550 1
383 990 2
330 425 2
37 194 1
785 945 2
32 368 1
10 676 2
12 844 1
265 741 1
669 937 2
623 637 2
64 1000 1
354 827 2
142 808 1
373 414 1
653 837 2
123 695 2
241 566 1
83 163 2
195 287 2
484 733 2
114 346 2
25 830 1
193 988 2
71 243 1
262 480 2
365 616 2
487 673 1
170 695 2
65 171 1
107 720 1
19 143 2
250 749 2
928 975 2
797 941 2
199 574 2
290 950 1
123 589 2
414 852 1
375 444 1
20 57 2
551 616 1
265 342 1
137 443 2
182 231 2
51 557 1
36 231 1
573 716 2
761 776 1
111 921 1
171 678 1
56 956 2
19 729 1
453 691 1
335 656 1
520 760 2
329 784 1
373 679 1
451 889 2
112 469 2
811 921 1
81 371 1
437 739 1
367 465 2
164 533 2
4 256 2
74 220 2
596 601 2
762 961 2
234 993 2
94 439 1
186 351 1
477 552 1
67 744 1
125 384 1
99 350 2
837 845 2
453 945 1
40 864 2
26 673 2
895 950 2
364 859 1
590 928 1
372 964 1
509 968 2
212 269 1
385 589 1
415 945 2
574 672 1
337 661 1
252 674 1
213 974 2
546 992 1
389 454 2
513 518 1
161 967 1
263 863 2
79 288 2
269 300 2
146 273 1
599 896 2
458 960 2
240 417 2
535 869 2
593 891 2
20 50 2
632 965 1
67 386 1
405 605 1
100 298 2
35 86 1
105 564 2
297 736 1
150 617 2
97 129 1
626 926 2
62 392 2
44 470 1
537 723 1
164 184 1
153 708 1
496 582 2
117 907 2
189 736 2
509 921 2
183 381 1
370 595 1
507 997 2
120 378 2
89 142 2
72 401 2
47 106 2
203 238 1
574 675 2
256 627 2
124 802 1
410 880 1
470 887 2
557 805 2
94 309 1
539 584 1
312 419 1
324 368 1
585 679 2
76 315 1
750 764 2
53 752 1
86 883 2
702 782 2
81 584 2
195 390 2
90 798 1
327 554 2
3 648 2
202 350 1
149 598 1
203 901 2
558 873 1
176 635 2
890 966 1
597 956 2
119 547 1
62 207 2
440 626 1
985 992 2
74 634 2
196 218 2
843 897 2
962 980 2
383 689 2
580 785 2
202 388 2
91 960 1
479 880 1
664 909 2
551 854 1
468 626 1
264 701 2
103 855 2
209 342 2
6 982 1
47 79 2
484 919 1
134 241 2
18 566 1
312 332 1
49 973 1
47 390 1
276 800 2
541 615 1
127 703 2
8 580 2
236 811 1
285 296 2
578 936 1
263 960 2
46 718 2
161 685 2
405 766 1
768 870 1
534 855 1
385 407 2
322 499 2
156 574 1
145 846 1
688 692 1
167 391 2
447 713 2
466 630 2
325 751 1
370 851 2
234 651 1
210 730 2
232 256 2
553 883 2
423 896 2
792 930 2
318 859 1
381 432 1
810 981 1
709 931 2
760 866 1
205 731 1
159 938 1
89 563 1
835 956 2
458 860 2
676 855 2
19 409 2
494 603 1
418 540 1
231 633 1
104 203 1
8 318 2
11 376 2
19 713 1
191 406 2
356 459 1
508 931 1
275 458 1
350 397 1
680 813 2
42 347 1
640 843 2
244 995 2
192 903 1
717 975 1
290 764 1
299 836 2
340 746 1
475 723 2
42 690 2
31 625 2
228 266 2
19 826 2
767 952 1
112 414 2
719 772 2
301 372 1
171 559 1
14 116 2
331 378 2
15 494 2
166 335 1
323 453 1
354 759 1
403 475 2
354 582 2
73 403 2
381 451 1
32 984 1
97 828 1
123 737 1
294 363 2
200 894 2
220 792 1
127 853 2
275 858 1
649 911 1
326 346 1
839 983 2
18 77 2
207 951 1
54 613 2
507 734 2
551 623 2
7 416 2
618 737 1
41 59 2
104 326 2
72 413 2
314 687 1
61 446 2
134 876 1
349 944 1
472 653 2
533 625 2
74 354 1
509 745 1
85 218 1
64 847 2
142 361 1
26 354 2
136 602 1
43 800 2
214 334 2
156 747 1
672 960 1
248 895 2
135 730 1
277 537 2
348 974 1
113 131 1
544 844 2
7 962 1
82 850 2
301 656 2
14 477 1
295 696 1
479 656 1
644 732 1
708 790 1
657 924 2
257 783 1
224 523 1
841 863 1
186 547 1
747 959 1
801 887 2
206 866 1
329 864 1
827 846 1
349 900 1
182 626 1
517 927 2
51 144 1
332 827 2
955 969 2
1 494 2
256 692 2
668 832 1
270 807 2
555 816 1
3 303 2
202 365 2
449 748 1
841 971 1
491 613 1
100 414 2
265 651 2
77 461 1
126 227 2
214 922 2
254 813 2
140 271 1
457 497 1
580 697 2
241 748 2
272 885 2
334 406 1
384 778 2
233 739 1
426 793 1
691 882 1
212 1000 2
614 634 1
15 199 2
480 834 1
754 966 2
238 653 1
894 988 1
42 648 2
392 635 1
642 667 2
556 911 2
515 810 1
62 334 1
299 884 2
420 737 1
196 782 2
436 891 1
645 894 1
806 872 1
261 927 1
438 719 2
413 547 2
531 854 2
86 275 2
50 384 2
353 475 2
47 546 1
578 976 1
22 867 2
145 793 2
623 955 2
202 645 2
352 713 2
142 474 1
163 556 1
106 849 2
294 926 1
455 730 2
124 802 2
133 833 1
287 398 2
369 772 2
727 930 1
78 315 2
348 851 2
135 769 1
145 587 2
221 279 2
652 686 2
69 833 2
60 526 1
53 207 1
367 638 2
281 927 1
42 170 2
665 680 2
37 383 1
246 665 1
464 872 2
113 275 2
88 571 1
39 947 1
182 188 2
177 915 1
303 958 1
608 953 2
88 202 1
531 767 1
463 967 2
66 779 1
307 414 2
69 871 2
82 423 2
492 837 1
411 792 2
314 980 1
394 519 2
138 559 2
704 867 2
529 946 1
348 788 1
818 828 2
246 602 2
374 632 2
76 865 2
420 901 2
419 854 2
604 948 1
558 826 1
155 842 2
140 260 1
253 600 2
391 691 2
421 930 1
642 887 1
160 822 1
232 320 1
209 650 1
126 680 1
463 697 1
16 251 2
82 153 1
516 720 2
104 135 2
139 794 2
221 304 1
686 749 1
771 916 2
410 952 2
175 995 2
332 451 2
574 771 2
254 589 2
402 408 1
574 654 2
709 806 2
381 892 2
70 497 1
294 322 1
39 409 2
422 670 1
379 773 1
103 204 2
18 803 2
224 330 1
627 716 1
380 773 2
573 780 2
553 889 2
696 732 2
257 931 2
115 339 1
662 721 2
343 778 1
436 613 2
364 390 1
957 964 2
446 479 2
702 882 2
70 943 2
438 823 2
23 443 2
649 991 2
491 855 1
78 907 2
661 841 1
931 983 1
291 867 1
127 839 2
164 951 2
398 853 1
129 722 2
342 653 1
403 996 2
736 921 2
74 729 1
160 657 1
53 77 1
374 695 1
392 774 2
240 586 2
625 866 1
139 396 2
78 115 1
66 172 1
354 678 2
74 735 1
340 803 1
14 707 1
414 852 2
439 668 1
798 838 1
96 172 1
57 159 2
438 962 2
465 685 2
533 720 2
35 743 2
10 67 1
125 443 2
563 624 2
634 647 2
498 543 2
46 387 1
595 881 2
11 637 2
293 694 2
315 624 2
117 615 2
626 685 1
211 782 2
528 643 1
577 754 2
3 556 2
161 977 2
808 896 2
462 676 1
110 660 2
577 689 1
99 631 1
54 306 1
123 333 2
207 651 1
57 840 1
192 589 2
189 945 1
564 642 2
2 964 2
443 552 1
126 619 1
277 752 1
70 389 2
254 835 2
764 781 2
231 943 2
515 900 2
412 689 2
262 618 2
406 536 1
201 973 1
251 890 1
96 496 2
545 867 2
59 242 1
421 666 1
142 289 2
121 905 2
149 817 1
232 729 2
188 189 1
224 544 1
134 842 2
276 458 2
880 904 2
148 666 1
128 439 2
754 910 2
333 623 1
628 725 2
442 729 2
387 539 1
24 565 1
258 922 2
467 482 1
280 709 2
563 877 2
96 447 1
477 538 1
756 814 1
19 331 2
666 899 2
68 241 2
859 885 2
420 444 1
140 155 1
610 984 1
179 279 1
489 672 1
771 971 1
5 363 2
500 857 2
293 405 1
334 955 1
310 979 1
275 536 1
337 778 1
225 841 2
123 666 2
558 752 2
150 459 2
195 812 2
587 781 2
719 993 1
358 574 1
172 347 1
434 577 2
105 142 1
566 661 1
24 902 2
151 753 1
63 212 1
46 375 2
394 470 1
253 577 2
103 890 1
381 931 2
123 647 1
444 928 1
353 505 1
31 55 1
170 426 2
171 907 1
90 269 1
156 876 1
365 842 2
202 476 2
560 633 2
120 635 1
37 391 2
579 649 2
120 570 2
249 528 1
572 741 2
329 821 2
193 364 1
162 241 1
441 621 1
262 287 1
238 517 1
457 617 2
174 723 1
435 543 2
569 849 2
214 746 1
191 404 1
569 584 2
398 787 2
631 890 2
489 596 1
718 982 1
77 629 2
553 765 1
553 705 2
816 995 2
374 502 1
751 902 2
885 919 2
576 921 2
243 326 2
517 765 1
490 771 1
688 728 2
15 339 2
24 724 2
23 954 1
73 669 2
388 471 2
99 121 2
213 382 1
48 428 1
28 948 2
605 979 1
722 762 1
556 774 2
826 852 2
546 794 2
568 683 1
917 921 2
17 942 2
252 787 2
458 757 2
25 491 1
88 399 1
160 853 1
146 714 2
429 948 2
16 656 2
230 657 1
136 381 2
406 910 2
787 856 1
337 729 1
151 458 1
190 238 1
11 959 1
405 736 2
495 578 2
407 675 1
467 884 2
389 594 2
406 760 1
500 620 1
166 406 2
281 464 1
143 297 1
716 786 2
13 99 2
380 535 1
287 680 1
112 185 2
695 809 1
295 449 1
474 634 1
770 900 1
939 954 2
405 729 1
92 827 1
63 906 1
256 608 1
70 144 2
255 698 2
211 866 2
109 238 1
444 673 2
189 286 1
362 527 2
197 917 2
189 792 2
172 781 2
35 543 2
304 975 2
617 859 1
293 434 1
441 939 1
216 885 1
190 495 1
148 989 2
163 720 2
116 905 1
139 837 1
702 961 1
204 917 1
249 560 2
554 863 2
622 814 2
782 804 1
194 491 1
155 872 2
233 684 1
126 899 2
30 60 1
237 598 2
193 257 2
165 721 2
280 974 1
933 947 2
304 532 2
701 898 2
488 735 1
381 769 1
183 947 1
204 289 2
863 876 1
489 640 1
33 573 1
561 909 1
346 782 2
314 751 1
510 742 1
447 950 2
799 880 2
68 311 1
110 671 2
479 814 2
82 689 1
133 145 2
365 701 1
408 559 2
657 908 2
13 219 1
621 642 2
220 424 1
821 882 1
770 881 2
127 616 2
354 610 1
514 562 1
741 963 2
729 748 1
524 598 1
185 209 1
552 948 1
310 921 2
190 223 1
288 936 1
709 987 1
132 619 2
132 683 2
82 485 2
648 709 1
339 881 2
485 687 2
541 565 2
329 830 2
505 903 1
151 286 2
327 587 2
154 337 2
398 408 1
418 541 2
607 914 1
236 705 2
777 903 2
126 356 1
69 157 2
323 326 2
111 865 1
211 804 2
152 433 1
424 636 1
287 466 1
265 330 2
191 585 1
759 885 1
335 339 2
542 780 1
35 60 2
960 974 1
518 651 1
188 460 1
199 829 1
284 381 1
131 811 1
343 761 1
16 750 2
117 385 1
152 970 2
666 716 1
801 907 1
44 62 1
84 689 1
849 885 1
157 330 2
577 891 2
333 618 2
156 247 1
393 778 2
796 807 2
141 811 1
82 227 1
38 594 2
25 993 1
468 552 1
477 687 2
611 986 1
680 876 1
288 433 2
140 686 2
372 414 2
800 856 1
505 843 1
529 962 2
198 397 1
473 925 1
697 867 1
301 942 2
163 337 2
153 415 2
257 951 1
317 811 2
136 634 2
572 802 2
134 614 2
14 117 2
270 295 2
695 940 1
791 876 1
261 870 2
481 967 1
321 751 2
711 861 2
704 708 1
156 846 1
282 636 1
129 850 1
14 529 2
355 949 1
123 950 2
202 334 2
38 570 1
589 898 1
366 753 2
35 956 1
342 574 2
477 511 2
611 965 2
238 391 1
228 810 1
695 918 2
153 320 1
733 934 1
93 816 1
163 897 1
449 525 1
194 649 2
426 559 2
513 749 1
158 737 2
99 740 2
557 995 2
679 901 1
248 774 2
314 366 2
532 894 1
412 591 2
169 782 2
409 858 2
517 924 1
397 485 2
68 599 2
115 455 1
515 742 1
385 606 1
121 811 2
658 807 1
686 815 2
608 616 2
145 831 1
325 625 2
302 925 1
463 686 1
451 839 2
137 773 1
456 959 2
506 818 1
143 978 2
97 986 2
249 562 1
103 447 2
465 675 1
166 689 2
423 560 2
560 590 1
151 633 1
166 989 2
396 708 2
11 503 2
93 116 2
484 675 1
717 841 1
156 751 1
691 878 1
327 475 2
660 772 1
490 760 2
333 577 2
140 553 1
193 739 1
132 316 1
687 812 2
205 947 1
713 764 2
264 317 1
227 249 1
374 649 1
668 709 2
208 413 1
242 259 1
49 688 2
72 857 1
351 543 2
144 273 1
115 649 2
788 946 2
197 947 2
210 402 1
681 877 1
12 645 1
146 922 1
91 967 2
814 822 2
108 375 2
46 62 2
15 720 2
859 924 2
610 935 2
23 161 2
459 697 1
189 578 2
435 967 1
488 801 1
545 601 2
982 991 1
153 172 1
334 841 2
207 422 2
843 956 1
17 590 2
260 903 1
289 392 1
111 262 1
274 518 1
23 979 2
270 338 2
261 747 2
285 404 1
329 925 2
196 977 1
192 724 2
196 398 1
