1
1000 1000
18 424 2
65 202 1
849 906 2
229 545 2
96 725 1
389 812 1
38 58 2
29 615 1
392 515 1
83 766 1
8 756 1
769 935 2
16 402 2
706 772 2
224 316 1
274 360 1
225 734 1
99 441 1
202 569 1
833 907 1
189 556 2
352 529 2
543 868 1
545 787 2
393 789 2
182 515 2
712 865 1
127 735 2
277 331 1
187 699 2
344 668 2
163 255 2
455 543 1
498 826 1
98 333 2
66 532 2
302 597 1
16 376 1
199 283 1
603 904 2
125 575 2
624 986 1
159 174 1
158 947 2
266 724 2
763 907 1
119 188 2
20 299 2
38 140 2
703 762 1
140 504 2
114 815 2
173 844 1
420 464 2
898 986 2
198 345 1
655 951 2
192 619 2
7 804 1
155 814 1
555 556 1
50 220 2
572 903 2
887 896 1
397 400 1
651 974 2
142 277 2
310 390 2
281 979 2
131 882 2
663 988 1
313 374 1
575 951 2
421 621 1
70 262 1
341 451 1
347 593 1
253 301 1
34 304 1
354 871 1
370 464 2
45 650 1
390 393 2
15 352 1
91 978 2
492 988 2
205 745 2
130 537 2
89 939 2
461 804 2
549 787 2
296 344 2
438 443 2
200 333 1
105 728 2
280 751 2
406 448 2
180 597 1
913 960 1
612 853 1
16 955 2
759 857 1
581 972 1
89 840 1
701 849 1
413 972 1
483 542 2
606 935 1
147 435 1
269 432 1
440 526 2
468 915 1
315 502 2
537 687 2
99 533 1
934 954 2
171 888 1
180 261 1
260 334 2
22 622 1
231 962 1
254 926 1
45 994 1
201 797 1
166 374 2
305 660 2
166 872 1
344 869 2
301 625 1
813 920 1
17 609 1
798 974 2
336 851 1
136 681 2
123 848 1
691 694 1
631 865 2
580 885 1
87 821 2
462 744 1
136 944 1
164 996 2
427 992 2
162 479 2
667 918 1
248 902 2
149 481 2
223 505 1
82 650 2
108 407 2
468 547 1
166 722 2
346 624 1
257 297 1
216 517 2
42 871 2
540 545 2
462 741 2
296 458 2
178 396 1
488 883 2
144 724 2
344 840 1
680 869 2
387 470 1
613 938 1
74 791 1
105 884 1
476 536 2
630 889 2
686 716 2
18 452 1
64 603 1
181 712 2
455 925 1
60 583 1
27 564 2
235 941 2
362 577 2
77 517 1
54 735 2
114 148 2
612 620 1
580 625 1
132 760 1
309 903 1
3 223 2
267 378 1
911 923 1
33 293 2
428 993 1
39 937 2
388 401 1
740 971 2
284 643 2
378 409 1
349 541 1
858 878 1
297 679 2
166 187 1
182 414 2
45 814 1
349 832 2
53 515 2
194 863 2
338 589 1
876 903 1
166 758 2
5 820 1
849 894 2
215 597 2
360 591 1
221 541 1
150 217 2
447 525 1
766 944 2
467 487 2
263 371 1
680 943 1
290 988 2
58 417 2
441 491 1
517 756 2
105 115 2
93 665 1
773 889 1
629 978 1
785 929 2
60 861 2
231 455 1
6 689 2
11 586 2
358 554 2
92 652 1
669 941 2
260 817 2
85 771 2
668 882 1
887 925 2
2 585 2
491 639 2
102 144 1
17 439 1
144 519 2
794 849 2
275 758 2
206 679 2
567 937 2
223 922 2
646 667 2
470 795 1
340 820 1
514 774 1
531 867 2
190 477 2
509 585 1
616 678 1
205 646 2
452 921 1
368 389 2
328 556 2
200 393 1
473 823 2
660 799 1
437 614 1
37 419 2
104 957 2
182 510 1
679 839 2
31 117 1
423 905 2
444 770 2
401 1000 2
292 826 2
208 538 1
891 939 1
200 395 2
571 954 1
339 735 2
408 857 2
486 840 1
781 878 2
116 281 1
321 369 2
364 771 1
75 950 2
393 819 1
130 813 2
33 107 1
271 728 2
2 460 2
476 603 1
193 672 2
599 950 2
863 953 1
583 729 2
85 120 2
165 737 2
5 336 1
52 913 1
583 970 2
387 699 1
387 935 1
386 576 1
403 434 1
402 746 1
513 1000 1
261 904 2
145 416 1
228 634 1
254 799 1
356 807 2
267 291 2
611 689 2
31 703 1
728 740 2
737 838 1
72 255 1
696 920 1
42 287 1
276 758 1
791 868 1
76 889 2
87 414 1
965 990 2
741 916 1
15 192 1
222 507 1
244 728 1
278 716 2
264 541 2
651 821 2
79 778 2
23 528 1
466 856 1
76 958 1
79 272 2
654 866 2
105 152 1
11 901 1
161 439 2
383 772 2
218 546 1
272 524 2
185 847 1
443 558 2
127 900 2
32 858 2
112 662 1
118 954 1
248 683 1
401 941 1
10 969 2
203 418 1
379 422 1
64 612 2
92 816 1
603 934 2
44 514 2
679 895 1
605 780 1
294 524 1
609 715 1
355 983 1
850 986 2
19 962 2
212 568 2
657 955 1
113 971 2
306 736 1
128 209 1
611 979 1
153 371 1
192 546 1
396 801 1
410 892 2
42 910 2
122 756 1
508 862 2
194 522 1
34 898 2
298 917 1
642 835 2
290 850 2
197 764 2
42 430 1
533 749 2
326 718 2
514 810 1
79 257 1
46 587 1
409 978 1
16 632 2
22 117 2
294 360 1
87 201 1
887 890 1
173 960 2
128 886 1
224 894 2
460 640 2
273 607 1
400 736 1
575 803 1
352 645 2
135 826 1
27 458 2
303 949 2
142 262 2
299 661 1
48 535 1
277 706 2
309 557 1
954 992 1
261 987 2
548 842 2
184 867 2
54 600 1
680 839 1
442 984 1
436 901 1
169 594 2
710 989 2
471 528 1
115 917 1
12 30 1
262 355 2
538 613 1
117 164 1
38 308 1
540 760 2
55 356 2
555 959 1
315 853 1
383 848 2
358 885 2
823 930 2
165 924 1
129 140 1
32 234 1
173 547 2
367 491 1
247 793 2
8 825 2
495 836 2
102 676 2
299 905 1
30 335 2
10 978 1
596 723 2
540 887 1
280 390 2
266 943 2
144 616 2
351 729 1
209 273 1
30 613 1
233 812 2
473 745 2
623 950 2
46 345 1
66 512 1
157 922 1
590 926 1
100 939 1
763 896 1
318 737 2
381 457 2
267 685 2
241 665 2
605 898 2
166 711 1
504 802 1
391 511 2
364 761 2
191 344 2
448 495 1
481 948 2
670 801 2
730 866 1
287 356 2
297 474 2
554 634 1
83 262 2
123 338 2
112 863 1
803 970 1
11 86 1
134 235 1
901 943 1
167 706 1
132 639 1
154 983 2
534 567 1
142 524 1
489 902 2
687 878 1
232 893 1
188 575 2
812 899 1
752 960 1
251 435 1
345 913 1
295 982 1
18 440 2
375 644 1
121 355 2
291 370 1
413 961 1
272 502 2
357 552 2
59 960 2
523 898 1
420 764 2
